condition,curve_channel,to_be_normalized
Green11_Cy3,green,False
Green13_Quench,green,False
Green16_20,green,True
Green17_22.5,green,True
Green18_25,green,True
Green19_27.5,green,True
Green20_30,green,True
Green21_32.5,green,True
Green22_35,green,True
Green23_37.5,green,True
Green24_40,green,True
Green25_42.5,green,True
Green26_45,green,True
Green27_47.5,green,True
Green28_50,green,True
Green29_52.5,green,True
Green30_55,green,True
Green31_57.5,green,True
Green32_60,green,True
Green33_20,green,False
Red13_Quench,red,False
Red16_20,red,False
